year,evi_apr,evi_aug,evi_jul,evi_jun,evi_may,evi_sep,lst_apr,lst_aug,lst_jul,lst_jun,lst_may,lst_sep,ndvi_apr,ndvi_aug,ndvi_jul,ndvi_jun,ndvi_may,ndvi_sep,ndwi_apr,ndwi_aug,ndwi_jul,ndwi_jun,ndwi_may,ndwi_sep,yield_wheat_c_ha,yield_barley_c_ha,yield_sunflower_c_ha,precip_apr,precip_aug,precip_jul,precip_jun,precip_may,precip_sep,temp_apr,temp_aug,temp_jul,temp_jun,temp_may,temp_sep
1990,0.0518204725440869,0.2032197313277005,0.1959756715848679,0.1333856563355191,0.1222130972486025,0.2032197313277005,3.618766233812021,32.92687161809732,33.74553191211496,40.955246678978696,33.37129064235612,32.92687161809732,0.0638945685947958,0.3612894968330262,0.3348518540294086,0.2347039489430687,0.2141276202467661,0.3612894968330262,0.2582689094843513,-0.0680265509762185,-0.0265478858369076,-0.136410655784696,-0.1484677212749762,-0.0680265509762185,4.7,3.9,3.5,12.418283142066928,54.44011520955116,99.23003682235397,25.757657186929524,18.867256635085138,30.52862917448033,5.332983567356897,18.07421276512256,21.925449759785327,22.12420724134892,16.217125903996944,13.149467576618193
1991,0.0487192935993555,0.2025765172519537,0.1701845872105816,0.1648620270093739,0.1581577000035016,0.1554282330006972,2.518496329585382,33.67493786292204,39.18158301088745,37.33715137746336,28.25175728311698,25.664927164347336,0.0631843060344598,0.3076303031948185,0.261434526088932,0.2627575143873448,0.2766474666956517,0.271541109507405,0.2754891246864588,-0.0415590094180236,-0.0798194602847938,-0.091746826810835,-0.0821741705159157,-0.1232798412095124,3.3,2.6,2.5,8.802675428279905,72.6285348338187,51.79670834112632,24.19359618136102,14.084403557436971,36.45606938891272,5.738552599923997,17.061150345079234,22.457094232631764,22.245464450141714,15.255745878770924,14.145156423728938
1992,0.2047868472635655,0.2148419289284449,0.1323373811240662,0.1771783338479277,0.1460939493671459,0.2827649008015236,7.201665578858624,17.97740581711034,19.25767300597032,26.66324140857332,29.267245402401866,21.442014745091168,0.0636121771724796,0.2941228396861604,0.2231723538392187,0.2762413829784197,0.2277546857960035,0.4031867890155822,0.4092706669134412,0.1036784596898209,0.0478886732925079,-0.0039757468104037,-0.0823294576944365,0.1001571995419036,6.3,5.7,2.9,31.37572117331148,69.28240978507775,124.6864921405312,47.22686908917937,33.09604418049381,48.87011523093707,4.220450765845176,17.30401587821211,20.816182586178893,16.513423371274246,13.37179173062754,8.172562088488181
1993,0.0701418118138629,0.250629402178453,0.2773173025346718,0.2608247793607441,0.2030398964903886,0.1415015294119632,9.170470169921334,33.28353614061169,34.22652272112591,33.63786680047697,29.980506959011,16.780785703264694,0.0900830706945294,0.4010097283227713,0.4248645792865128,0.4031628087387833,0.3282483865155371,0.241504143014709,0.2507245593587066,0.0111805527100856,0.0418569440996501,0.0230633607125334,-0.0381123438748424,-0.1170808573238845,6.0,4.3,2.9,34.91451703900245,37.984299117491055,109.81557743037452,67.44884322703209,44.546298753089886,35.65375336885417,3.4341977694355217,18.85489213853394,20.65033050695143,18.609463897132677,10.397732389352344,9.931852354729015
1994,0.1098189381602529,0.1986813225089986,0.2003888802617929,0.1764781095690295,0.1603353449581137,0.1626611150411469,30.56047764805921,30.10967402534238,35.19581480844421,36.08044732613866,33.8055470501757,25.35413442294402,0.1855020355374039,0.3353032680370189,0.3289977473714464,0.2899585706668745,0.2663835075448409,0.2932800878890378,-0.1148569509573961,-0.0666224720911323,-0.0544278887862115,-0.0807811948400591,-0.0959009702897874,-0.1206647186108479,4.4,2.7,2.5,22.33026822599257,67.97409028563335,75.311151051709,23.9694940737027,43.47645553527645,42.93517450841792,4.642526129354223,17.99220621947245,20.792938787819143,22.075139643291458,13.639687860707596,11.281682777396265
1995,0.0997117842182141,0.2082645854404826,0.201184526004869,0.1775780602196383,0.1582322049353246,0.1420943575706955,15.337243833485088,33.97987303619496,37.408832158400905,38.39068698386457,23.93847182180368,19.81645044169791,0.1701639214362077,0.3521174258284783,0.334664556302591,0.296518995238676,0.2731264899611444,0.2568612363550817,0.0309792190640819,-0.0635166216700844,-0.0624104312941304,-0.0828973827939461,-0.1252040408895986,-0.1316933757591886,4.6,3.5,1.9,16.99118634700795,41.22379345277883,109.63385367491036,29.597444954821164,37.37646848251285,36.02724941043677,8.060354550155512,19.505001617403884,21.55054775894284,18.141062881895653,13.451183390177151,12.643579521739898
1996,0.0337760320294018,0.2178478483719666,0.2019801717479452,0.1786780108702471,0.0977168279218896,0.1215276001002442,-5.506184410774051,37.85007204704755,39.6218495083576,40.70092664159048,23.28458588521128,14.278766460451797,0.0144762323423648,0.3689315836199378,0.3403313652337358,0.3030794198104774,0.1650959769243686,0.2204423848211256,0.5589573275850486,-0.0604107712490366,-0.0703929738020493,-0.0850135707478331,-0.1661784288705264,-0.1427220329075293,4.7,3.5,1.3,23.069424741047957,65.23270988577438,75.07846027908754,32.11660654097478,31.605450823322524,47.27432143573698,1.7294507851641012,16.360743509168877,21.14855315196129,19.662409183519493,12.527690879833608,11.570498710270437
1997,0.0286814460668657,0.1156351892010238,0.1046893257322543,0.1374549325555716,0.1374549325555716,0.1007749632140956,-6.610099492119273,31.022121820913416,40.52076528196446,39.23940344042416,39.23940344042416,24.67864102791556,-0.0379534499749084,0.2092799006309443,0.2024770125027866,0.2313686656288221,0.2313686656288221,0.179499591498729,0.6113342123378837,-0.1689799425896151,-0.1812739571392884,-0.159277891352291,-0.159277891352291,-0.1849918211122843,4.7,3.7,1.4,3.419225730022762,28.12401173753239,29.511700757992543,24.41119652702055,38.154936132561566,8.609834258996175,10.021593974198591,19.848525270610363,20.627745036223,19.07558927458081,15.209869160462286,13.844777863192917
1998,0.0286814460668657,0.142008183472081,0.1334161926201582,0.1235084144231851,0.1235084144231851,0.1332039185891437,-6.610099492119273,34.46519097531609,41.99429867313216,31.084748959674883,31.084748959674883,30.48419819621473,-0.0379534499749084,0.2499876360568274,0.2365107206724702,0.2232550408429367,0.2232550408429367,0.2375954054687126,0.6113342123378837,-0.1385433895489515,-0.148880795780877,-0.1617662277600761,-0.1617662277600761,-0.1470970593075912,3.9,2.7,0.8,42.7104301669212,25.49021091361842,34.75011068390008,34.88308110200301,33.24506235268064,27.18874976076544,2.523825108152118,22.74232921125797,23.890390105675877,20.705196021790965,12.75288185936624,11.597406459264509
1999,0.0286814460668657,0.1480062112409197,0.1621430595080622,0.1811543298488903,0.1235084144231851,0.1063802930212701,-6.610099492119273,41.36155029276637,43.467832064299856,45.87147759329152,31.084748959674883,24.83877350213748,-0.0379534499749084,0.2483673684604259,0.2705444288421539,0.3067637412364293,0.2232550408429367,0.2002030139465222,0.6113342123378837,-0.1336494842228843,-0.1164876344224657,-0.1033502929932622,-0.1617662277600761,-0.1820548983884804,5.4,5.2,1.8,19.925153698558365,29.450869164109232,34.44626509790022,66.47450261066226,18.54933379994768,32.76338150598555,5.019448673383453,20.44389806463813,23.557713529963014,16.443182024081885,16.204258369307016,12.348040583703156
2000,0.1302027563242651,0.1870479634529519,0.2534822881844199,0.2983580802134538,0.2414093490780794,0.1657323194534144,23.15789819472757,31.8511811816278,37.100876924614525,31.292773994981417,24.817187119325453,21.036283934591225,0.269917016198303,0.3505863688947819,0.4432607748472952,0.5229268438637018,0.4509486915799476,0.3297669912721195,-0.1731908199867567,-0.0925542373233721,-0.0516049432601181,0.0319753476667381,-0.0601652231693305,-0.1358265399061751,5.5,9.6,1.7,19.142593680423623,45.655424084012594,21.936561946043447,64.40343902354266,104.46752730810924,32.779136442831735,7.576044820126289,19.99634206116132,20.87181738955261,19.327352658498068,12.858072947131973,12.386702071546104
2001,0.1312173313359879,0.1992774813953133,0.2463829357678635,0.2274579321256293,0.1919835462473954,0.1520310747087279,22.095102961692906,31.01849661602756,31.743522983347376,30.24296455059808,33.6313933519703,19.730557236172565,0.2805238216965108,0.3861463889230689,0.4519969059149174,0.4248235791734516,0.3777928319071885,0.3151251563268452,-0.1961299560035001,-0.1136077682839167,-0.0556758542763762,-0.0437813151417658,-0.1033205611606429,-0.150669845032559,11.9,12.3,3.0,38.87083432681812,43.77316203808273,78.24858310722229,100.16247638935955,25.00771111589961,48.03733128316097,5.950785146799493,19.54495494483633,18.48811151615745,18.665789943888274,17.606614892104005,11.635960389174762
2002,0.1193068118813668,0.2255576661050627,0.2710372961872291,0.2816325413656707,0.2225013663571862,0.1639649932229678,16.600911900290676,31.579517596632364,31.095259068845923,29.53735768788832,28.507318101706687,23.951280692070966,0.2600758571762419,0.4254594977002205,0.4920443522173643,0.5028205019813278,0.4272774716460913,0.3317219594047884,-0.1991905818335089,-0.088544039643859,-0.0155278404398469,0.0056241601961421,-0.095979462883173,-0.1706668949866158,12.3,12.0,3.9,33.78106290979631,30.67169687840026,67.97237893327798,86.556794633158,26.748817517279704,23.10818219743731,3.484685253575071,19.72248107957134,19.31608243541903,18.245752779173586,13.62002482136165,14.798210906541287
2003,0.1133452090239146,0.2151516085730066,0.2179661653384899,0.2379410717647601,0.1929957298439048,0.1725799186718424,18.99030233450016,34.19414328274351,33.23566182194408,36.82609434611917,30.82473880587268,24.28429304733957,0.240825789020608,0.4025500060011878,0.3917295117567488,0.4316069980353022,0.3776984164135389,0.3427607060439832,-0.1754962164959875,-0.1091552354624524,-0.0442162329240697,-0.0559377017033983,-0.1229715434993643,-0.1447902830183327,5.6,5.3,4.4,18.473705201883785,33.3359767856688,70.90921314322439,26.370695587625036,44.12423844338057,32.46229314521601,3.911496932181731,20.44452481137436,19.64287286468025,20.70059302041243,15.773227466318698,14.22260816155042
2004,0.1095106835668132,0.1903608840996208,0.230809660180225,0.2232434413220426,0.1843940528215025,0.1697331705913349,16.328082337906014,31.980823681040462,34.996211314451294,38.26140960385092,36.670512472875245,22.07644995467465,0.2325416119903665,0.3666571606184859,0.415480394865909,0.4060466021221784,0.3618618338602976,0.3437793139336865,-0.1815697897271695,-0.127350245806266,-0.0662242985325919,-0.0716122453306154,-0.1101173042128461,-0.1498070507194658,6.5,5.8,3.3,48.42144364692677,62.33326346846555,34.98718621893871,36.33621405960376,23.13937641785545,30.54313323563575,4.400517275988153,18.332779926255657,21.47395055719956,21.1050387891406,16.70701503992438,13.228877528790328
2005,0.1403861179547623,0.1956317489653331,0.2149641693617416,0.1964045332724279,0.1754080338108788,0.1870256255662752,20.56684400923036,31.35697649028513,34.55549765026553,38.588686051610544,30.537197940734263,21.71192103762292,0.2906004747961158,0.3838157583949769,0.39471987773001,0.36582848591253,0.3506172196569018,0.378258126183045,-0.1818457243508807,-0.1031756376837853,-0.0784789916355024,-0.1101990507493855,-0.1198477657974683,-0.1394100583534227,5.4,5.8,3.0,20.165945095300355,55.17355357693432,51.695192229957286,53.39064636833701,25.038880939925324,17.442776560364624,6.538499451745489,18.81981870333027,22.34469066984405,21.283442104106967,14.467938327941116,13.05719529774123
2006,0.1172202212455473,0.1902122304105094,0.2399441111470324,0.2276289307206068,0.1778809889933423,0.1508745388727568,16.5821978134919,31.71978440730919,33.5759693895933,37.04191233192673,28.49657527243184,24.502862420318788,0.2399409450136079,0.355537413705468,0.4290825436767979,0.4132374544122741,0.3432100936120606,0.2853991796341895,-0.0981550596155186,-0.1286266381443599,-0.0685486391382693,-0.0707507286618588,-0.1288346515392915,-0.1715570163517556,6.9,7.5,3.4,42.61784181366798,40.877295978254274,50.72211353720424,61.13626361922521,17.39001481145009,11.47330763858471,4.788402277530786,17.643533002308786,20.6996324004007,22.487217682849657,12.88181936808757,14.045630832636691
